full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Poland, 05-090, Falenty Nowe, Willowa, 8",52.13475,20.93464,108.0,BWC,05-090,Falenty Nowe,Willowa,8.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301,2
"Poland, 05-520, Konstancin-Jeziorna, Źródlana, 10",52.084263,21.115763,346.5,BWC,05-520,Konstancin-Jeziorna,Źródlana,10.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301,2
"Poland, 05-500 , Piaseczno, Raszyńska, 18",52.092415,21.01487,54.0,BWC,05-500 ,Piaseczno,Raszyńska,18.0,1.0,200108_200201_200301,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
"Poland, 05-500, Nowa Iwiczna, Kielecka, 25",52.085606,20.99315,495.0,BWC,05-500,Nowa Iwiczna,Kielecka,25.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
"Poland, 02-196 , Warszawa, Popas, 28",52.16095,20.93836,495.0,BWC,02-196 ,Warszawa,Popas,28.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301,2
"Poland, 05-830, Kajetany, Klonowa, 9",52.08701,20.816242,3150.0,BHB,05-830,Kajetany,Klonowa,9.0,1.0,200108_200201_200301,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
"Poland, 05-500 , Piaseczno, Elektroniczna, 24",52.081997,21.03246,495.0,BWC,05-500 ,Piaseczno,Elektroniczna,24.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
"Poland, 05-500 , Piaseczno, Stołeczna, 28",52.060432,21.009434,495.0,BWC,05-500 ,Piaseczno,Stołeczna,28.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
"Poland, 96-300, Żyrardów, Mickiewicza, 22",52.048508,20.446182,495.0,BRA,96-300,Żyrardów,Mickiewicza,22.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
"Poland, 05-830, Rusiec, Osiedlowa, 6",52.06548,20.800451,495.0,BHC,05-830,Rusiec,Osiedlowa,6.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,2
