full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Poland, 96-313, Jaktorów, Generała Skokowskiego, 27",52.08472442626953,20.543743133544922,495.0,BRB,96-313,Jaktorów,Generała Skokowskiego,27.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-315, Wiskitki, Kulinarna, 8",52.0930061340332,20.401050567626953,108.0,BRA,96-315,Wiskitki,Kulinarna,8.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-300, Żyrardów, Kasztanowa, 32",52.060890197753906,20.45210075378418,2250.0,BRC,96-300,Żyrardów,Kasztanowa,32.0,1.0,200108_200201_200301,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-300, Żyrardów, Ossowskiego, 34",52.05885314941406,20.447635650634766,54.0,BRC,96-300,Żyrardów,Ossowskiego,34.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-300, Żyrardów, Reymonta, 14",52.04656219482422,20.43977165222168,495.0,BHA,96-300,Żyrardów,Reymonta,14.0,1.0,200108_200201_200301,poniedziałek piątek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Pt",0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-320 , Mszczonów, Pogorzałki, 20",51.97666549682617,20.553611755371094,495.0,BRA,96-320 ,Mszczonów,Pogorzałki,20.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-321, Słubica A, Zarzeczna, 19",52.01266860961914,20.63262176513672,495.0,BRAB,96-321,Słubica A,Zarzeczna,19.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-321, Nowa Bukówka, Rumiankowa, 11",52.023231506347656,20.65829086303711,495.0,BRB,96-321,Nowa Bukówka,Rumiankowa,11.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-321, Huta Żabiowolska, Przy Trasie, 12",52.03076934814453,20.677413940429688,495.0,BHB,96-321,Huta Żabiowolska,Przy Trasie,12.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-321, Żabia Wola, Ślaskiego, 16",52.02684020996094,20.688249588012695,108.0,BHC,96-321,Żabia Wola,Ślaskiego,16.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-321, Żabia Wola, Przejazdowa, 14",52.035648345947266,20.689374923706055,54.0,BHB,96-321,Żabia Wola,Przejazdowa,14.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-321, Siestrzeń, Objazdowa, 26",52.050418853759766,20.70919418334961,495.0,BHC,96-321,Siestrzeń,Objazdowa,26.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-831, Rozalin, Młochowska, 25",52.05137634277344,20.734338760375977,54.0,BHC,05-831,Rozalin,Młochowska,25.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
